series_id,mean,std,min,max,skew,kurtosis,stationarity,autocorr,trend,label
0,47.18,43.64,-27.81,106.97,-0.25,-1.25,2.062,1.0,-2.46,2
1,117.17,9.18,99.06,141.84,0.69,0.48,0.606,0.95,0.47,0
2,126.64,44.67,80.92,233.19,0.82,-0.61,2.542,1.0,2.41,1
3,80.95,11.01,53.98,96.34,-0.9,-0.02,0.71,0.97,-0.51,1
4,118.82,24.25,90.45,177.23,0.84,-0.46,1.443,1.0,1.31,2
5,48.73,43.74,-51.81,90.54,-0.91,-0.58,2.275,1.0,-2.29,2
6,109.4,14.6,79.77,136.68,-0.52,-0.54,0.424,0.97,-0.66,2
7,121.53,4.49,115.25,139.45,1.85,4.81,0.39,0.9,0.1,0
8,93.8,8.15,74.46,110.05,-0.21,-0.47,0.324,0.95,0.43,3
9,102.33,13.62,72.43,121.4,-0.52,-0.89,0.804,0.99,-0.75,1
